participant,mat1_pre,mat2_pre,mat3_pre,mat4_pre,mat5_pre,mat1_post,mat2_post,mat3_post,mat4_post,mat5_post,imp1_pre,imp2_pre,imp3_pre,imp4_pre,imp1_post,imp2_post,imp3_post,imp4_post,eff1_pre,eff2_pre,eff3_pre,eff1_post,eff2_post,eff3_post,sat1,sat2,sat3,sat4
C10,4,2,1,4,3,4.0,4.0,3.0,4.0,4.0,2.0,3.0,2.0,1.0,5.0,5.0,4.0,5.0,2.0,2.0,2.0,4.0,4.0,3.0,4.0,5.0,5.0,5.0
C04,1,3,1,1,1,1.0,2.0,1.0,3.0,2.0,4.0,2.0,1.0,2.0,5.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,5.0,5.0,5.0
C21,2,3,2,3,3,2.0,4.0,3.0,3.0,3.0,4.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
C12,3,1,1,3,2,4.0,3.0,2.0,5.0,5.0,5.0,3.0,4.0,3.0,5.0,4.0,5.0,5.0,2.0,2.0,3.0,3.0,3.0,5.0,5.0,4.0,5.0,5.0
C07,1,2,1,2,2,2.0,3.0,2.0,3.0,3.0,5.0,4.0,1.0,4.0,5.0,5.0,4.0,5.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,5.0,5.0,5.0
C09,1,3,1,2,3,4.0,5.0,4.0,4.0,4.0,5.0,3.0,3.0,3.0,5.0,5.0,4.0,5.0,2.0,2.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0
C32,1,4,2,2,3,3.0,5.0,4.0,3.0,4.0,3.0,3.0,2.0,3.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,3.0,3.0,3.0,4.0,5.0,5.0,5.0
C22,3,4,3,3,4,4.0,5.0,4.0,4.0,5.0,5.0,4.0,3.0,2.0,5.0,5.0,4.0,3.0,3.0,2.0,2.0,4.0,4.0,3.0,4.0,5.0,4.0,5.0
C02,1,5,2,2,2,4.0,5.0,3.0,3.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,4.0,2.0,4.0,4.0,3.0,5.0,5.0,5.0,5.0
C03,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,
C26,1,3,1,4,5,3.0,5.0,3.0,2.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,2.0,4.0,5.0,3.0,3.0,5.0,5.0,5.0
C18,4,4,3,2,3,1.0,5.0,5.0,4.0,5.0,4.0,3.0,4.0,3.0,4.0,5.0,5.0,4.0,4.0,2.0,2.0,4.0,4.0,3.0,5.0,5.0,4.0,5.0
C28,3,4,4,2,4,5.0,5.0,4.0,5.0,5.0,4.0,4.0,2.0,3.0,5.0,5.0,4.0,4.0,3.0,2.0,3.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0
C05,3,3,2,2,1,3.0,3.0,2.0,3.0,2.0,4.0,3.0,2.0,2.0,5.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,5.0,3.0,5.0
C13,1,4,3,4,3,4.0,5.0,3.0,5.0,5.0,5.0,4.0,3.0,1.0,5.0,5.0,4.0,3.0,1.0,1.0,1.0,3.0,3.0,4.0,3.0,4.0,4.0,5.0
C11,1,4,2,2,3,5.0,5.0,3.0,3.0,5.0,4.0,3.0,2.0,5.0,5.0,4.0,4.0,5.0,2.0,1.0,2.0,4.0,2.0,3.0,5.0,5.0,4.0,5.0
C25,1,4,1,4,4,5.0,4.0,3.0,4.0,1.0,4.0,2.0,3.0,3.0,5.0,4.0,5.0,4.0,1.0,1.0,1.0,2.0,4.0,2.0,4.0,5.0,5.0,5.0
C06,3,5,3,5,4,4.0,5.0,3.0,5.0,4.0,5.0,5.0,4.0,5.0,,,,,,,,,,,,,,
C16,2,3,3,2,3,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0
C30,2,4,4,3,4,4.0,5.0,5.0,5.0,4.0,4.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,3.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0
C24,5,3,1,2,3,5.0,5.0,3.0,5.0,5.0,4.0,1.0,1.0,2.0,5.0,4.0,3.0,5.0,2.0,2.0,1.0,4.0,4.0,3.0,5.0,5.0,5.0,5.0
C20,2,5,3,3,5,4.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0
C31,4,4,3,4,3,,,,,,,,,,,,,,,,,,,,,,,
