participant,deployment,materiality_pre,materiality_post,materiality_delta,impact_pre,impact_post,impact_delta,efficacy_pre,efficacy_post,efficacy_delta,sat_understood_impacts,sat_engaging_format,sat_useful_docs,sat_would_recommend,open_response
C08,clermont,2.6,3.0,0.3999999999999999,2.75,2.75,0.0,2.6666666666666665,2.6666666666666665,0.0,4.0,4.0,4.0,4.0,Les conditions de travail déplorables
C10,clermont,2.8,3.8,1.0,2.0,4.75,2.75,2.0,3.6666666666666665,1.6666666666666663,4.0,5.0,5.0,5.0,La quantité d’utilisation de l’eau pas les data centers
C04,clermont,1.4,1.8,0.4000000000000001,2.25,3.5,1.25,1.0,1.6666666666666667,0.6666666666666667,4.0,5.0,5.0,5.0,non pas forcément
C21,clermont,2.6,3.0,0.3999999999999999,2.0,1.5,-0.5,1.6666666666666667,3.0,1.3333333333333333,3.0,3.0,3.0,3.0,"Bien que l'on parle souvent de l'impact environnemental de l'IA générative, on occulte trop souvent son coût humain : le fait que son développement repose sur des travailleurs précaires, chargés de réaliser des tâches de labellisation et de calcul de données pour des salaires dérisoires."
C12,clermont,2.0,3.8,1.7999999999999998,3.75,4.75,1.0,2.333333333333333,3.6666666666666665,1.333333333333333,5.0,4.0,5.0,5.0,Le nombre d’enfants qui travaillent dans les mines de cobalt. 40 000 c’est énorme.
C07,clermont,1.6,2.6,1.0,3.5,4.75,1.25,1.3333333333333333,2.0,0.6666666666666667,3.0,5.0,5.0,5.0,chine
C09,clermont,2.0,4.2,2.2,3.5,4.75,1.25,2.333333333333333,4.0,1.6666666666666663,5.0,5.0,5.0,5.0,La consommation d'eau
C32,clermont,2.4,3.8,1.4,2.75,4.0,1.25,1.6666666666666667,3.0,1.3333333333333333,4.0,5.0,5.0,5.0,Le pourcentage d'eau qui est nécessaire pour refroidir les data centers ce qui impacte les populations des alentours
C22,clermont,3.4,4.4,1.0000000000000004,3.5,4.25,0.75,2.333333333333333,3.6666666666666665,1.333333333333333,4.0,5.0,4.0,5.0,Les conditions de travail dans les usines notamment en Chine avec plus du double des heures de travail en France et les suicides des ouvriers dans l’usine Foxconn en 2010
C02,clermont,2.4,4.0,1.6,4.5,5.0,0.5,2.6666666666666665,3.6666666666666665,1.0,5.0,5.0,5.0,5.0,"Le fait que les « régions développées » (USA, europe,…) renvoient leurs déchets toxiques aux pays en développement"
C03,clermont,,,,,,,,,,,,,,
C26,clermont,2.8,3.6,0.8000000000000003,4.5,5.0,0.5,3.333333333333333,4.0,0.6666666666666665,3.0,5.0,5.0,5.0,"Les 40 000 enfants exploités, le nombre de personnes qui meurent dans les mines à cause du manque de sécurité et d’infrastructures adaptées."
C18,clermont,3.2,4.0,0.7999999999999998,3.5,4.5,1.0,2.6666666666666665,3.6666666666666665,1.0,5.0,5.0,4.0,5.0,les chiffres de consommation d’eau de l’IA
C28,clermont,3.4,4.8,1.4,3.25,4.5,1.25,2.6666666666666665,4.333333333333333,1.6666666666666663,5.0,5.0,4.0,5.0,Les conditions et l’impact sur les communautés locales et décentralisées m’a vraiment choqué
C05,clermont,2.2,2.6,0.3999999999999999,2.75,3.25,0.5,3.0,3.333333333333333,0.3333333333333335,4.0,5.0,3.0,5.0,Le principe est chouette
C13,clermont,3.0,4.4,1.4000000000000004,3.25,4.25,1.0,1.0,3.333333333333333,2.333333333333333,3.0,4.0,4.0,5.0,Le fait que chaque élément est concentré dans une zone (mine : affrique ; data center : USA et un peu Europe ; etc.)
C11,clermont,2.4,4.2,1.8000000000000005,3.5,4.5,1.0,1.6666666666666667,3.0,1.3333333333333333,5.0,5.0,4.0,5.0,J’ai beaucoup aimé l’interaction grâce a l’interface du jeux. Ce que je retiens c’est que maintenant je peux positionner les principaux lieux vue en TD en lien avec les composants numériques et l’IA. Ca rend quelques chose de non concret en concret et localisable.
C25,clermont,2.8,3.4,0.6000000000000001,3.0,4.5,1.5,1.0,2.6666666666666665,1.6666666666666663,4.0,5.0,5.0,5.0,La misère qu'il y a derrière cette technologie
C06,clermont,4.0,4.2,0.2000000000000001,,,,,,,,,,,
C16,clermont,2.6,3.4,0.7999999999999998,4.0,4.75,0.75,3.6666666666666665,4.0,0.3333333333333335,5.0,5.0,5.0,5.0,"J'ai trouvé l'atelier très pertinent, tant dans la forme que dans le contenu. L'utilisation d'eau par l'IA et par les data centers m'a particulièrement marqué."
C30,clermont,3.4,4.6,1.1999999999999995,3.5,5.0,1.5,2.6666666666666665,4.0,1.3333333333333337,4.0,4.0,4.0,5.0,La consommation d’eau et les matériaux utilisés
C24,clermont,2.8,4.6,1.7999999999999998,2.0,4.25,2.25,1.6666666666666667,3.6666666666666665,2.0,5.0,5.0,5.0,5.0,"La division en 3 grands groupes extraction, production data center"
C20,clermont,3.6,4.6,0.9999999999999996,4.75,5.0,0.25,3.0,4.666666666666667,1.666666666666667,4.0,5.0,4.0,5.0,Le Pérou et l’Europe du Nord
C31,clermont,,,,,,,,,,,,,,
